unblind,subject,drug,diet,sex,blind_code,n_cing_retro,n_motor,n_visual,n_parietal,n_somato,n_auditory,n_ad_insul,n_hippo,n_dHippo,n_vHippo,n_peri_entor,n_pirif_apirif,n_PLCo,n_BLA,sum_cing_retro,sum_motor,sum_visual,sum_parietal,sum_somato,sum_auditory,sum_ad_insul,sum_hippo,sum_dHippo,sum_vHippo,sum_peri_entor,sum_pirif_apirif,sum_PLCo,sum_BLA,mean_cing_retro,mean_motor,mean_visual,mean_parietal,mean_somato,mean_auditory,mean_ad_insul,mean_hippo,mean_dHippo,mean_vHippo,mean_peri_entor,mean_pirif_apirif,mean_PLCo,mean_BLA
70_M_VEH_EtOH,70,VEH,EtOH,M,A,10,3,7,3,4,6,2,8,6,2,6,4,3,2,0,0,0,0,0,0,0,10,0,10,9,0,0,0,0,0,0,0,0,0,0,1.25,0,5,1.5,0,0,0
18_F_PLX_EtOH,18,PLX,EtOH,F,I,12,2,9,3,4,7,2,8,6,3,10,8,3,2,0,0,0,0,0,0,0,3,0,3,27,4,0,0,0,0,0,0,0,0,0,0.375,0,1,2.7,0.5,0,0
23_F_PLX_EtOH,23,PLX,EtOH,F,VVV,13,3,9,4,6,8,2,9,7,3,11,9,4,3,0,0,1,0,0,0,0,0,0,0,6,2,0,0,0,0,0.11111111111111109,0,0,0,0,0,0,0,0.5454545454545454,0.2222222222222222,0,0
24_F_PLX_EtOH,24,PLX,EtOH,F,CCC,13,4,7,4,7,7,2,10,8,3,10,10,6,5,0,0,0,0,0,0,0,14,0,14,9,8,5,0,0,0,0,0,0,0,0,1.3999999999999997,0,4.666666666666667,0.9,0.8,0.8333333333333334,0
33_F_PLX_EtOH,33,PLX,EtOH,F,BB,12,4,7,1,5,7,3,9,7,2,9,10,5,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4444444444444444,0,0,0
34_F_PLX_EtOH,34,PLX,EtOH,F,XX,13,1,11,3,3,7,1,6,4,2,12,7,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2857142857142857,0,0
63_F_PLX_EtOH,63,PLX,EtOH,F,Y,11,1,8,4,5,7,1,8,6,2,10,8,4,2,0,0,1,0,1,0,0,11,0,11,25,5,0,0,0,0,0.125,0,0.2,0,0,1.375,0,5.5,2.5,0.625,0,0
64_F_PLX_EtOH,64,PLX,EtOH,F,MMM,11,3,6,3,6,6,2,9,8,3,7,5,1,3,0,0,0,0,0,0,0,12,1,11,35,1,0,0,0,0,0,0,0,0,0,1.3333333333333335,0.125,3.6666666666666665,5,0.2,0,0
83_F_PLX_EtOH,83,PLX,EtOH,F,P,9,3,3,4,5,7,2,8,6,2,7,8,5,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714288,0.125,0,0
71_F_PLX_EtOH,71,PLX,EtOH,F,WWW,14,4,9,4,6,7,3,10,7,3,11,10,6,4,0,0,0,0,0,0,1,149,0,149,319,44,2,0,0,0,0,0,0,0,0.33333333333333337,14.9,0,49.666666666666664,29,4.4,0.33333333333333337,0
72_F_PLX_EtOH,72,PLX,EtOH,F,UU,26,6,20,8,10,14,4,18,14,6,24,18,10,6,0,0,0,0,0,0,2,2,0,2,16,16,2,0,0,0,0,0,0,0,0.5,0.1111111111111111,0,0.33333333333333337,0.6666666666666666,0.8888888888888888,0.2,0
07_M_PLX_EtOH,07,PLX,EtOH,M,TTT,13,4,8,3,6,7,3,10,7,3,10,10,6,4,0,0,0,0,0,1,0,3,0,3,13,10,0,1,0,0,0,0,0,0.14285714285714288,0,0.3,0,1,1.3,1,0,0.25
08_M_PLX_EtOH,08,PLX,EtOH,M,BBB,12,3,7,4,7,7,3,10,8,3,10,11,5,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2727272727272727,0,0
11_M_PLX_EtOH,11,PLX,EtOH,M,MM,26,8,16,6,12,16,6,18,12,8,20,20,8,6,0,0,0,0,0,0,0,8,0,8,136,4,0,0,0,0,0,0,0,0,0,0.4444444444444443,0,1,6.8,0.2,0,0
12_M_PLX_EtOH,12,PLX,EtOH,M,O,12,3,8,3,5,7,3,8,6,3,10,9,4,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7777777777777779,0,0
35_M_PLX_EtOH,35,PLX,EtOH,M,SS,13,3,9,4,6,8,3,11,8,3,11,11,7,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5454545454545454,0,0
51_M_PLX_EtOH,51,PLX,EtOH,M,PPP,15,4,10,4,7,8,3,8,7,3,10,10,6,4,0,0,0,0,1,0,6,2,0,2,45,13,0,0,0,0,0,0,0.14285714285714288,0,2,0.25,0,0.6666666666666667,4.5,1.3,0,0
65_M_PLX_EtOH,65,PLX,EtOH,M,Q,13,3,7,4,7,7,3,8,7,2,9,8,5,3,0,0,1,0,1,0,0,1,0,1,1,8,2,0,0,0,0.14285714285714288,0,0.14285714285714288,0,0,0.125,0,0.5,0.1111111111111111,1,0.4,0
66_M_PLX_EtOH,66,PLX,EtOH,M,EE,11,8,2,2,10,5,7,9,7,2,6,12,3,3,0,2,13,5,26,6,2,0,0,0,0,2,0,1,0,0.25,6.5,2.5,2.6,1.2,0.2857142857142857,0,0,0,0,0.16666666666666666,0,0.33333333333333337
81_M_PLX_EtOH,81,PLX,EtOH,M,W,13,3,8,3,6,8,3,10,8,2,9,9,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11111111111111109,0,0
